id	idProject	testCase	EagerTest	MysteryGuest	ResourceOptimism	TestRedundancy
3609	18.0_admiral	com.vmware.admiral.auth.util.authutiltest.testisdevopsadmin	0	1	1	0
17765	21_dubbo	org.apache.dubbo.cache.support.lru.lrucachefactorytest.testlrucachefactory	0	0	0	0
17758	21_dubbo	org.apache.dubbo.cache.support.threadlocal.threadlocalcachefactorytest.testthreadlocalcachefactory	0	0	0	0
17459	21_dubbo	org.apache.dubbo.common.beanutil.javabeanserializeutiltest.testdeserialize_primitive	0	0	0	0
17460	21_dubbo	org.apache.dubbo.common.beanutil.javabeanserializeutiltest.testdeserialize_primitive0	0	0	0	0
17466	21_dubbo	org.apache.dubbo.common.beanutil.javabeanserializeutiltest.testgetclassnameproperty	0	0	0	0
17470	21_dubbo	org.apache.dubbo.common.beanutil.javabeanserializeutiltest.testserialize_array	1	0	0	0
17457	21_dubbo	org.apache.dubbo.common.beanutil.javabeanserializeutiltest.testserialize_primitive	0	0	0	0
17407	21_dubbo	org.apache.dubbo.common.bytecode.mixintest.testmain	0	0	0	0
17408	21_dubbo	org.apache.dubbo.common.bytecode.proxytest.testmain	0	0	0	0
17420	21_dubbo	org.apache.dubbo.common.bytecode.wrappertest.testinvokewrapperobject	0	1	1	0
17435	21_dubbo	org.apache.dubbo.common.compiler.support.adaptivecompilertest.testavailablecompiler	0	0	0	0
17442	21_dubbo	org.apache.dubbo.common.compiler.support.classutilstest.testforname2	0	0	0	0
17439	21_dubbo	org.apache.dubbo.common.compiler.support.classutilstest.testnewinstance2	0	0	0	0
17446	21_dubbo	org.apache.dubbo.common.compiler.support.classutilstest.testtouri	0	0	0	0
17455	21_dubbo	org.apache.dubbo.common.compiler.support.javassistcompilertest.testcompilejavaclasswithimport	0	1	1	0
17449	21_dubbo	org.apache.dubbo.common.compiler.support.jdkcompilertest.test_compilejavaclass	0	1	1	0
16510	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_addextension	0	1	1	0
16513	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_addextension_adaptive	0	0	0	0
16514	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_addextension_adaptive_exceptionwhenexistedadaptive	0	0	0	0
16511	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_addextension_noextend	0	1	1	0
16497	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_getextensionloader_notinterface	0	0	0	0
16496	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_getextensionloader_null	0	0	0	0
16509	21_dubbo	org.apache.dubbo.common.extension.extensionloadertest.test_getsupportedextensions_wrapperisnotext	0	0	0	0
