url,sha,default_branch
https://github.com/apache/struts,13d90530,master
https://github.com/eclipse-ee4j/tyrus,d86e0cb0,master
https://github.com/apache/hadoop,cc2babc1,trunk
https://github.com/jfree/jfreechart,520a4be6,master
https://github.com/pholser/junit-quickcheck,9361b6da,master
https://github.com/dnsjava/dnsjava,d97b6a06,master
https://github.com/marcosbarbero/spring-cloud-zuul-ratelimit,ae9603f4,master
https://github.com/lcw2004/one,7b9b249a,master
https://github.com/spotify/helios,aebf68dc,master
https://github.com/wikidata/wikidata-toolkit,20de6f7f,master
https://github.com/openpojo/openpojo,9badbcc4,master
https://github.com/sonatype-nexus-community/nexus-repository-helm,60a9e8de,master
https://github.com/wro4j/wro4j,185ab607,master
https://github.com/pippo-java/pippo,ae898b6c,master
https://github.com/alibaba/fastjson,57d0434a,master
https://github.com/vmware-archive/admiral,e4b02936,master
https://github.com/apache/dubbo,737f7a7e,3.3
https://github.com/kevinsawicki/http-request,2d62a3e9,master
https://github.com/fluent/fluent-logger-java,da14ec34,master
https://github.com/tbsalling/aismessages,7b0c4c70,master
https://github.com/ktuukkan/marine-api,af000384,master
https://github.com/hexagonframework/spring-data-ebean,dd11b976,master
https://github.com/querydsl/querydsl,2bf234ca,master
https://github.com/oryxproject/oryx,72ae4bb3,master
https://github.com/c2mon/c2mon,d80687b1,master
https://github.com/jodaorg/joda-time,d1ea2a53,main
https://github.com/flaxsearch/luwak,c27ec08c,master
https://github.com/alien4cloud/alien4cloud,eb57d0fe,3.0.x
https://github.com/crawlscript/webcollector,016b61a1,master
https://github.com/fhoeben/hsac-fitnesse-fixtures,a64c18d9,main
https://github.com/cescoffier/vertx-completable-future,011d3cd9,master
https://github.com/google/jimfs,ced6093f,master
https://github.com/wso2/carbon-apimgt,a82213e4,master
https://github.com/feroult/yawp,b3bcf9c9,master
https://github.com/apache/shardingsphere-elasticjob,b022898e,master
https://github.com/nationalsecurityagency/timely,3a8cbd33,master
https://github.com/apache/hbase,801fc05e,master
https://github.com/tools4j/unix4j,367da7d2,master
https://github.com/davidmoten/rxjava2-extras,d0315b6e,master
https://github.com/dropwizard/dropwizard,07dfaed6,release/4.0.x
https://github.com/ctco/cukes,b483e1a8,master
https://github.com/wildfly/wildfly-maven-plugin,0dda0062,main
https://github.com/javadelight/delight-nashorn-sandbox,da35edc0,master
https://github.com/square/retrofit,ae28c3d5,trunk
https://github.com/activiti/activiti,b11f757a,develop
https://github.com/kagkarlsson/db-scheduler,4a8a28e6,master
https://github.com/oracle/oci-java-sdk,2e9982f2,master
https://github.com/zalando/riptide,8277e11f,main
https://github.com/espertechinc/esper,590fa9c9,master
https://github.com/square/otto,2a67589a,master
https://github.com/visallo/vertexium,f1fd59e2,master
https://github.com/wildfly/wildfly,b19048b7,main
https://github.com/undertow-io/undertow,d0efffad,main
https://github.com/orbit/orbit,c4904af2,master
https://github.com/vert-x3/vertx-mqtt,c8213e0f,master
https://github.com/logzio/sawmill,e493c2e2,master
https://github.com/dromara/hutool,91565d05,"v5-master
default"
https://github.com/recast4j/recast4j,01d478e1,main
https://github.com/wikimedia/search-highlighter,8ba6fef7,master
https://github.com/jhipster/jhipster-registry,00db3661,main
https://github.com/spring-projects/spring-boot,daa3d457,main
https://github.com/tootallnate/java-websocket,fa3909c3,master
https://github.com/spring-projects/spring-ws,e8d89c9e,main
https://github.com/doanduyhai/achilles,e3099bdc,master
https://github.com/fromage/redpipe,0aff891d,master
